Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;COHIBA LÍNEA 1492;SIGLO II;MAREVAS;39,00;25;975,00;42 X 129;Cuba;Laguito;;;
;COHIBA LÍNEA 1492;SIGLO III;CORONAS GRANDES;54,00;25;1350,00;42 X 155;Cuba;Laguito;;;
;COHIBA LÍNEA 1492;SIGLO IV;CORONAS GORDAS;62,00;25;1550,00;46 X 143;Cuba;Laguito;;;
;COHIBA LÍNEA 1492;SIGLO V;DALIAS;68,00;25;1700,00;43 X 170;Cuba;Laguito;;;
;COHIBA LÍNEA 1492;SIGLO VI;CAÑONAZO;105,00;25;2625,00;52 X 150;Cuba;Laguito;;;
;COHIBA LÍNEA 1492;MEDIO SIGLO;MEDIO SIGLO;66,00;25;1650,00;52 X 102;Cuba;Laguito;;;
;COHIBA LÍNEA BHK;BHK 52;LAGUITO No.4;205,00;10;2050,00;52 X 119;Cuba;Laguito;;;
;COHIBA LÍNEA BHK;BHK 54;LAGUITO No.5;260,00;10;2600,00;54 X 144;Cuba;Laguito;;;
;COHIBA LÍNEA BHK;BHK 56;LAGUITO No.6;290,00;10;2900,00;56 X 166;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;PANETELAS;LAGUITO No.3;31,00;25;775,00;26 X 115;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;EXQUISITOS;SEOANE;39,00;25;975,00;33 X 126;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;ROBUSTOS;ROBUSTOS;78,00;25;1950,00;50 X 124;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;CORONAS ESPECIALES;LAGUITO No.2;57,20;25;1430,00;38 X 152;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;AMBAR;PLACERES;86,00;10;860,00;53 X 132;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;PIRAMIDES EXTRA;PIRAMIDES EXTRA;120,00;10;1200,00;54 X 160;Cuba;Laguito;;;
;COHIBA LÍNEA CLÁSICA;ESPLENDIDOS;JULIETA No.2;123,00;25;3075,00;47 X 178;Cuba;Laguito;;;
;COHIBA LÍNEA MADURO;SECRETOS;SECRETOS 5;39,00;25;975,00;40 X 110;Cuba;Laguito;;;
;COHIBA LÍNEA MADURO;MÁGICOS;MÁGICOS 5;82,00;25;2050,00;52 X 115;Cuba;Laguito;;;
;COHIBA LÍNEA MADURO;GENIOS;GENIOS 5;99,00;25;2475,00;52 X 140;Cuba;Laguito;;;
;COMBINACIONES;SELECCIÓN ROBUSTOS;ROBUSTOS;36,00;6;216,00;50 X 124;Cuba;Laguito;;;
;COMBINACIONES;SELECCIÓN PIRAMIDES;PIRAMIDES;41,00;6;246,00;52 X 156;Cuba;Laguito;;;
;COMBINACIONES;SELECCIÓN PETIT ROBUSTOS;PETIT ROBUSTOS;26,00;10;260,00;50 X 102;Cuba;Laguito;;;
;CONDEGA;F Arsenio  ;;9,00;10;90,00;52 X 140;Nicaragua;Koopmans;;;
;CONDEGA;F Magnum 52  ;;8,00;25;200,00;52 X 165;Nicaragua;Koopmans;;;
;CONDEGA;F Marevas  ;;6,50;12;78,00;42 X 127;Nicaragua;Koopmans;;;
;CONDEGA;F Mini robusto  ;;7,00;25;175,00;50 X 114;Nicaragua;Koopmans;;;
;CONDEGA;F robusto  ;;7,50;25;187,50;50 X 140;Nicaragua;Koopmans;;;
;CONDEGA;F Titan Gran Bundle/15  ;;115,00;1;115,00;60 X 158;Nicaragua;Koopmans;;;
;CONDEGA;F Titan Gran  ;;9,90;10;99,00;60 X 158;Nicaragua;Koopmans;;;
;CONDEGA;F Titan Mini Bundle/15  ;;99,00;1;99,00;60 X 114;Nicaragua;Koopmans;;;
;CONDEGA;F Titan Mini  ;;9,00;10;90,00;60 X 114;Nicaragua;Koopmans;;;
;CORLEONE;;Pizzino;12,00;15;180,00;;;ZABIA;;;
;CORLEONE;;Rispetto;14,00;15;210,00;;;ZABIA;;;
;CORLEONE;;Lupara;14,50;15;217,50;;;ZABIA;;;
;CORLEONE;;Onore;16,00;15;240,00;;;ZABIA;;;
;CORLEONE;;ll Capo;18,00;15;270,00;;;ZABIA;;;
;CORLEONE;;Assortiment;18,25;24;438,00;;;ZABIA;;;
;CORLEONE;;Cig'Art ;66,00;10;660,00;;;ZABIA;;;
;CORLEONE;;Liberta L.E. ;18,50;10;185,00;;;ZABIA;;;
;COYOTE;;Intenso del coyote;6,80;28;190,40;50 X 121;Dom. Rep;CAT;;;
;CUABA;DIVINOS;PETIT BOUQUET;9,40;25;235,00;43 X 101;Cuba;Laguito;;;
;CUABA;TRADICIONALES;FAVORITOS;10,80;25;270,00;42 X 120;Cuba;Laguito;;;
;CUSANO;;Maduro Churchill (BLACK);6,30;16;100,80;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Petit Panatela ;44,00;16;704,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Petit Corona;44,00;16;704,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Corona;52,00;16;832,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Short Robusto;54,00;16;864,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Lonsdale;56,00;16;896,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Robusto;59,00;16;944,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Churchill;65,00;16;1040,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Reserva N°14/Lonsdale ;6,00;25;150,00;;;ZABIA;;;
;CUSANO;BUNDLE SELECTION;Reserva N°6 / Robusto ;7,00;25;175,00;;;ZABIA;;;
;CUSANO;BS  HONDURAS ;Honduras Robusto;74,00;16;1184,00;;;ZABIA;;;
;CUSANO;BS  HONDURAS ;Honduras Toro ;89,00;16;1424,00;;;ZABIA;;;
;CUSANO;BS  HONDURAS ;Honduras Churchill ;86,00;16;1376,00;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;Ambassadrice;10,70;10;107,00;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;Petit Corona;13,90;25;347,50;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;2000;17,80;25;445,00;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;6000;22,20;25;555,00;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;N°2;23,00;25;575,00;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;Toro;24,90;25;622,50;;;ZABIA;;;
;DAVIDOFF;SIGNATURE;Exquisitos;38,00;10;380,00;;;ZABIA;;;
;DAVIDOFF;GRAND CRU;No.2;21,50;25;537,50;;;ZABIA;;;
;DAVIDOFF;GRAND CRU;No.3;19,50;25;487,50;;;ZABIA;;;
;DAVIDOFF;GRAND CRU;No.5;14,70;5;73,50;;;ZABIA;;;
;DAVIDOFF;GRAND CRU;Robusto;23,00;25;575,00;;;ZABIA;;;
;DAVIDOFF;GRAND CRU;Toro;26,00;25;650,00;;;ZABIA;;;
;DAVIDOFF;ANIVERSARIO;Entreacto;13,00;20;260,00;;;ZABIA;;;
;DAVIDOFF;ANIVERSARIO;Short Perfecto;22,00;4;88,00;;;ZABIA;;;
;DAVIDOFF;ANIVERSARIO;"Special ""R""";25,00;25;625,00;;;ZABIA;;;
;DAVIDOFF;ANIVERSARIO;"Special ""T""";30,00;20;600,00;;;ZABIA;;;
;DAVIDOFF;ANIVERSARIO;"Double ""R""";44,00;20;880,00;;;ZABIA;;;
;DAVIDOFF;MILLENIUM;Short robusto;23,00;4;92,00;;;ZABIA;;;
;DAVIDOFF;MILLENIUM;Robusto;28,00;25;700,00;;;ZABIA;;;
;DAVIDOFF;MILLENIUM;Piramides;32,50;10;325,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Short corona;13,50;14;189,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Robusto BXP;21,00;12;252,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Robusto;21,00;12;252,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Toro ;23,50;12;282,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Toro BXP;24,00;12;288,00;;;ZABIA;;;
;DAVIDOFF;NICARAGUA;Diadema;27,50;4;110,00;;;ZABIA;;;
;DAVIDOFF;ESCURIO;Petit Robusto;13,50;14;189,00;;;ZABIA;;;
;DAVIDOFF;ESCURIO;Robusto;21,00;12;252,00;;;ZABIA;;;
;DAVIDOFF;ESCURIO;Grand Perfecto;23,00;12;276,00;;;ZABIA;;;
;DAVIDOFF;ESCURIO;Corona Gorda;23,00;12;276,00;;;ZABIA;;;
;DAVIDOFF;ESCURIO;Grand Toro;24,00;12;288,00;;;ZABIA;;;
;DAVIDOFF;YAMASA;Robusto;25,50;12;306,00;;;ZABIA;;;
;DAVIDOFF;YAMASA;Toro;30,00;12;360,00;;;ZABIA;;;
;DAVIDOFF;YAMASA;Petit Churchill;17,00;14;238,00;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;Petit Belicoso;44,00;4;176,00;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;MF Petit Panetela;8,70;5;43,50;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;Petit Corona;16,00;20;320,00;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;Robusto;25,00;20;500,00;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;Toro ;28,50;20;570,00;;;ZABIA;;;
;DAVIDOFF;WINSTON CHURCHILL;Churchill;29,00;20;580,00;;;ZABIA;;;
;DAVIDOFF;WSC LATE HOUR;L.H P.Panetela;9,90;5;49,50;;;ZABIA;;;
;DAVIDOFF;WSC LATE HOUR;L.H Robusto;27,50;20;550,00;;;ZABIA;;;
;DAVIDOFF;WSC LATE HOUR;L.H Toro;31,00;20;620,00;;;ZABIA;;;
;DAVIDOFF;WSC LATE HOUR;L.H Churchill;30,00;20;600,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Primeros;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Primeros Maduro;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Nicaragua;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Nicaragua Maduro;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Escurio;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;PRIMEROS;Nicaragua Maduro;9,00;2;18,00;;;ZABIA;;;
;DAVIDOFF;SMALL BATCH;Small Batch N°5;36,00;10;360,00;;;ZABIA;;;
;DAVIDOFF;SMALL BATCH;Small Batch N°6;37,00;10;370,00;;;ZABIA;;;
;DAVIDOFF;SMALL BATCH;Small Batch N°13;36,00;10;360,00;;;ZABIA;;;
;DAVIDOFF;MADURO;Toro;54,00;20;1080,00;;;ZABIA;;;
;DAVIDOFF;MADURO;Robusto;50,00;20;1000,00;;;ZABIA;;;
;DAVIDOFF;MADURO;Short Corona;43,00;20;860,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Oro blanco;600,00;1;600,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Oro blanco 111 ;750,00;1;750,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Royal Release Robusto;125,00;10;1250,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Royal Release Salomones;150,00;10;1500,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;N°1 Aniversario ;62,00;10;620,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Grand Cru Dia LE 2024;57,00;10;570,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;Year of the Snake ;62,00;10;620,00;;;ZABIA;;;
;DAVIDOFF;LIMITED EDITION DAVIDOFF;WSC L.E. 2025 Churchill;49,00;10;490,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Primeros;6,50;6;234,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Primeros Madruo;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Nicaragua;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Nicaragua Maduro;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Escurio;6,50;6;39,00;;;ZABIA;;;
;DAVIDOFF;DAV. PRIMEROS;Nicaragua Maduro;9,00;2;18,00;;;ZABIA;;;
;DON DUARTE;RESERVA PRIVADA FUERTE;Maduro piramide;12,00;24;288,00;52 X 156;Nicaragua;CDP;;;
;DON DUARTE;CLASSICO GOLDEN ANCHO;Shade grown ancho;10,00;24;240,00;60 X 102;Nicaragua;CDP;;;
;EL REY DEL MUNDO;DEMI TASSE;ENTREACTOS;6,00;25;150,00;30 X 100;Cuba;Laguito;;;
;EL REY DEL MUNDO;CHOIX SUPREME;HERMOSOS No.4;13,80;25;345,00;48 X 127;Cuba;Laguito;;;
;EP. CARRILLO;;Inch 70 maduro ;20,00;24;480,00;70 X 178;Dom. Rep;CAT;;;
;EP. CARRILLO;;Inch 62 maduro ;14,50;24;348,00;62 X 127;Dom. Rep;CAT;;;
;EP. CARRILLO;;La historia e-iii;19,00;20;380,00;54 X 175;Dom. Rep;CAT;;;
;EP. CARRILLO;;Encore majestic ;19,00;20;380,00;52 X 137;Nicaragua;CAT;;;
;EP. CARRILLO;;The pledge prequel;18,50;20;370,00;50 X 127;Nicaragua;CAT;;;
;EP. CARRILLO;;Encore el primero ;20,00;20;400,00;54 X 175;Nicaragua;CAT;;;
;EP. CARRILLO;;Allegiance siedekick ;17,00;20;340,00;50 X 127;Nicaragua;CAT;;;
;EP. CARRILLO;;Allegiance confidant;18,50;20;370,00;52 X 153;Nicaragua;CAT;;;
;EP. CARRILLO;;Allegiance wingman ;19,00;20;380,00;54 X 175;Nicaragua;CAT;;;
;EP. CARRILLO;;Allegiance chaperone ;19,50;20;390,00;58 X 159;Nicaragua;CAT;;;
;ESCOBAR;;Natural robusto ;16,50;25;412,50;50 X 127;Nicaragua;CAT;;;
;ESCOBAR;;Natural double toro gordo ;17,50;25;437,50;56 X 153;Nicaragua;CAT;;;
;ESCOBAR;;Natural distinguidos romeo ;17,50;25;437,50;52 X 162;Nicaragua;CAT;;;
;ESCOBAR;;Natural churchill ;18,50;25;462,50;50 X 178;Nicaragua;CAT;;;
;FLOR DE COPAN LÍNEA CLÁSICA;PERLA;PERLAS;5,50;25;137,50;40 X 102;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;SHORT ROBUSTO;SHORT ROBUSTO;6,00;20;120,00;50 X 102;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;ROTSCHILD;ROTSCHILD;8,30;20;166,00;50 X 127;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;MADURO ROTSCHILD;MADURO ROTSCHILD;8,40;20;168,00;50 X 127;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;GORDITO;GORDITO;9,00;20;180,00;55 X 120;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;CHURCHILL;CHURCHILL;9,80;20;196,00;50 X 178;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;TITAN;TITAN;10,40;20;208,00;60 X 152;Honduras;Laguito;;;
;FLOR DE COPAN LÍNEA CLÁSICA;SHORT MAGNUM;SHORT MAGNUM;7,70;20;154,00;60 X 102;Honduras;Laguito;;;
;FLOR DE COPAN LINEA PURO;CORONA;CORONA;9,90;20;198,00;40 X 152;Honduras;Laguito;;;
;FLOR DE COPAN LINEA PURO;ROBUSTO;ROBUSTO;11,10;20;222,00;50 X 127;Honduras;Laguito;;;
;FLOR DE COPAN LINEA PURO;CHURCHILL;CHURCHILL;12,20;20;244,00;48 X 178;Honduras;Laguito;;;
;FLOR DE OLIVA;;Maduro robusto;6,60;25;165,00;50 X 127;;VCF;;;
;FLOR DE OLIVA;;Maduro toro;7,00;25;175,00;50 X 153;;VCF;;;
;FLOR DE OLIVA;;Caja;5,90;25;147,50;50 X 127;;VCF;;;
;FLOR DE OLIVA;;Toro;6,20;25;155,00;50 X 153;;VCF;;;
;FLOR DE OLIVA;;Churchill;6,20;25;155,00;50 X 178;;VCF;;;
;FLOR DE OLIVA;;Torpedo caja;6,00;25;150,00;;;VCF;;;
;FLOR DE SELVA;Ano Del Conejo 2023  ;;26,00;10;260,00;48 X 140;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Churchill  ;;14,00;25;350,00;49 X 178;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Corona  ;;10,50;25;262,50;48 X 140;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Extremo  ;;27,00;10;270,00;46 X 273;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Fino  ;;11,50;25;287,50;44 X 152;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica robusto  ;;11,50;25;287,50;50 X 120;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Selvita Tin/10  ;;40,00;5;200,00;30 X 102;Honduras;Koopmans;;;
;FLOR DE SELVA;Clasica Tempo  ;;16,00;20;320,00;60 X 152;Honduras;Koopmans;;;
;FLOR DE SELVA;Collecion Nr 20 Egoista  ;;13,00;20;260,00;60 X 114;Honduras;Koopmans;;;
;FLOR DE SELVA;Collecion Nr 20 Petit Corona  ;;13,50;20;270,00;42 X 140;Honduras;Koopmans;;;
;FLOR DE SELVA;Collecion Nr 20 robusto  ;;14,50;20;290,00;50 X 121;Honduras;Koopmans;;;
;FLOR DE SELVA;Collecion Nr 20 Tempo  ;;17,50;20;350,00;60 X 152;Honduras;Koopmans;;;
;FLOR DE SELVA;Collecion Nr 20 Toro  ;;15,50;20;310,00;52 X 152;Honduras;Koopmans;;;
;FLOR DE SELVA;Maduro N  ;;15,50;20;310,00;54 X 140;Honduras;Koopmans;;;
;FLOR DE SELVA;Maduro robusto  ;;11,50;20;230,00;50 X 120;Honduras;Koopmans;;;
;FLOR DE SELVA;Trio de Toros 3pcs;;50,00;1;50,00;;Honduras;Koopmans;;;
;FURIA ;;Megaera ;19,00;10;190,00;54 X 140;Nicaragua;CAT;;;
;FURIA ;;Alecto ;18,50;10;185,00;56 X 115;Nicaragua;CAT;;;
;FURIA ;;Tisiphone ;20,00;10;200,00;58 X 166;Nicaragua;CAT;;;
;GLOBAL PREMIUM CIGARS 1502;RUBY – wooden box;Dark ecuador torpedo;18,00;20;360,00;52 X 166;Nicaragua;CDP;;;
;GLOBAL PREMIUM CIGARS 1502;BLUE SAPPHIRE – individ boxs;Toro gordo;22,00;20;440,00;52 X 153;Nicaragua;CDP;;;
;GLOBAL PREMIUM CIGARS 1502;ANIVERSARIO - wooden box;Toro;25,50;10;255,00;50 X 153;Nicaragua;CDP;;;
;GLOBAL PREMIUM CIGARS 1502;XO - wooden box;Salomon;56,00;4;224,00;58 X 178;Nicaragua;CDP;;;
;GRIFFIN'S;;Puritos/timbre ;30,00;10;300,00;;;ZABIA;;;
;GRIFFIN'S;;Privilège;8,90;25;222,50;;;ZABIA;;;
;GRIFFIN'S;;300;12,50;25;312,50;;;ZABIA;;;
;GRIFFIN'S;;400;11,50;5;57,50;;;ZABIA;;;
;GRIFFIN'S;;500;12,00;25;300,00;;;ZABIA;;;
;GRIFFIN'S;;Perfecto;13,00;25;325,00;;;ZABIA;;;
;GRIFFIN'S;;Short Robusto;11,00;25;275,00;;;ZABIA;;;
;GRIFFIN'S;;Robusto;13,00;25;325,00;;;ZABIA;;;
;GRIFFIN'S;;Piramides;14,00;4;56,00;;;ZABIA;;;
;GRIFFIN'S;;Toro;16,50;25;412,50;;;ZABIA;;;
;GRIFFIN'S;;Prestige;17,00;25;425,00;;;ZABIA;;;
;GURKHA;CELLAR RESERVE ;21 year sola db robusto ;22,00;20;440,00;58 X 153;Nicaragua;CAT;;;
;GURKHA;GHOST ;Gold shadow ;12,50;21;262,50;52 X 127;Dom. Rep;CAT;;;
;GURKHA;CELLAR; reserve 15 years koi ;14,90;20;298,00;58 X 102;Dom. Rep;CAT;;;
;GURKHA;CELLAR;Reserve 15 years solara ;17,50;20;350,00;58 X 127;Dom. Rep;CAT;;;
;GURKHA;CELLAR;Reserve 18 years solara ;19,50;20;390,00;58 X 127;Dom. Rep;CAT;;;
;GURKHA;HERITAGE;Robusto corto ;10,90;24;261,60;48 X 115;Nicaragua;CAT;;;
;GURKHA;HERITAGE;Robusto ;14,50;24;348,00;55 X 127;Nicaragua;CAT;;;
;GURKHA;HERITAGE;Toro ;16,00;24;384,00;54 X 166;Nicaragua;CAT;;;
;GURKHA;REVENANT ;Corojo robusto ;13,50;20;270,00;50 X 127;Dom. Rep;CAT;;;
;GURKHA;LEGEND 1959 ;Robusto ;10,50;20;210,00;54 X 127;Dom. Rep;CAT;;;
;GURKHA;LEGEND 1959 ;Toro ;10,90;20;218,00;50 X 153;Dom. Rep;CAT;;;
;H.UPMANN;HALF CORONA;HALF CORONA;7,60;25;190,00;44 X 90;Cuba;Laguito;;;
;H.UPMANN;MAJESTIC;CREMAS;7,60;25;190,00;40 X 140;Cuba;Laguito;;;
;H.UPMANN;CORONAS MAJOR A.T.;EMINENTES;11,00;25;275,00;42 X 132;Cuba;Laguito;;;
;H.UPMANN;UPMANN No.2;PIRAMIDES;22,00;25;550,00;52 X 156;Cuba;Laguito;;;
;H.UPMANN LÍNEA CONNOSSIEUR;CONNOISSEUR No.1;HERMOSOS No.4;17,00;25;425,00;48 X 127;Cuba;Laguito;;;
;H.UPMANN LÍNEA CONNOSSIEUR;CONNOSSIEUR No.2;BOHEMIOS;20,20;25;505,00;51 X 134;Cuba;Laguito;;;
;H.UPMANN LÍNEA CONNOSSIEUR;CONNOSSIEUR B (LCDH + HS);GENIALES;24,70;25;617,50;54 X 150;Cuba;Laguito;;;
;H.UPMANN LÍNEA CONNOSSIEUR;CONNOSSIEUR A (LCDH + HS);GENIOS;22,00;25;550,00;52 X 140;Cuba;Laguito;;;
;H.UPMANN LÍNEA MAGNUM;MAGNUM 46;CORONAS GORDAS;19,80;25;495,00;46 X 143;Cuba;Laguito;;;
;H.UPMANN LÍNEA MAGNUM;MAGNUM 50;MAGNUM 50;23,50;25;587,50;50 X 160;Cuba;Laguito;;;
;H.UPMANN LÍNEA MAGNUM;MAGNUM 54;MAGNUM 54;20,00;25;500,00;54 X 120;Cuba;Laguito;;;
;HIRAM & SOLOMON;;Entered apprentice toro  ;14,90;20;298,00;52 X 153;Nicaragua;CAT;;;
;HIRAM & SOLOMON;;Master mason toro  ;14,90;20;298,00;52 X 153;Nicaragua;CAT;;;
;HIRAM & SOLOMON;;Traveling man toro  ;14,90;20;298,00;52 X 153;Nicaragua;CAT;;;
;HORACIO;;H1 Classic (of Year) ;17,60;15;264,00;;;ZABIA;;;
;HORACIO;;H5 Classic;11,50;15;172,50;;;ZABIA;;;
;HORACIO;;H6 Classic ;12,00;15;180,00;;;ZABIA;;;
;HORACIO;;XL;15,00;15;225,00;;;ZABIA;;;
;HORACIO;;XXL;19,50;15;292,50;;;ZABIA;;;
;HORACIO;;Jacques Chancel;15,00;15;225,00;;;ZABIA;;;
;HORACIO;;Colosso;15,50;15;232,50;;;ZABIA;;;
;HORACIO;;Sled L.E. ;15,70;15;235,50;;;ZABIA;;;
;HORACIO;;Le Coffret;16,00;4;64,00;;;ZABIA;;;
;HORACIO;;Heritage N°1;14,50;15;217,50;;;ZABIA;;;
;HORACIO;;Heritage N°6;13,00;15;195,00;;;ZABIA;;;
;HORACIO;;Pasion 38 ;12,50;16;200,00;;;ZABIA;;;
;HOYO DE MONTERREY;PETIT ROBUSTOS;PETIT ROBUSTOS;15,60;25;390,00;50 X 102;Cuba;Laguito;;;
;HOYO DE MONTERREY LÍNEA EPICURE;EPICURE No.2;ROBUSTOS;19,00;25;475,00;50 X 124;Cuba;Laguito;;;
;HOYO DE MONTERREY LÍNEA EPICURE;EPICURE No.1;CORONAS GORDAS;20,00;25;500,00;46 X 143;Cuba;Laguito;;;
;HOYO DE MONTERREY LÍNEA EPICURE;EPICURE No.3;ORIGINALES;21,00;25;525,00;54 X 125;Cuba;Laguito;;;
;HOYO DE MONTERREY LÍNEA EPICURE;EPICURE ESPECIAL;GORDITO;21,70;25;542,50;50 X 141;Cuba;Laguito;;;
;HOYO DE MONTERREY SERIE LE HOYO;LE HOYO DU MAIRE;ENTREACTOS;8,90;25;222,50;30 X 100;Cuba;Laguito;;;
;HOYO DE MONTERREY SERIE LE HOYO;LE HOYO DU DEPUTE;TRABUCOS;11,20;25;280,00;38 X 110;Cuba;Laguito;;;
;HOYO DE MONTERREY SERIE LE HOYO;LE HOYO DE SAN JUAN;GENIALES;24,70;25;617,50;54 X 150;Cuba;Laguito;;;
;HOYO DE MONTERREY SERIE LE HOYO;LE HOYO DE RIO SECO;AROMOSOS;24,70;25;617,50;56 X 140;Cuba;Laguito;;;
;INCA;Premium Secret Cristales  ;;7,50;30;225,00;40 X 152;Peru;Koopmans;;;
;INCA;Premium Secret Gordo Imperio  ;;8,50;20;170,00;60 X 152;Peru;Koopmans;;;
;INCA;Premium Secret robusto roca  ;;7,50;20;150,00;50 X 127;Peru;Koopmans;;;
;INCA;Premium Secret Toro Tambo  ;;8,00;20;160,00;50 X 152;Peru;Koopmans;;;
;INCA;rojo Corona  ;;4,70;10;47,00;44 X 148;Peru;Koopmans;;;
;INCA;rojo Short Corona  ;;4,00;10;40,00;43 X 90;Peru;Koopmans;;;
;INCA;Secret Bombaso Maduro  ;;9,00;10;90,00;60 X 100;Peru;Koopmans;;;
;JOSE L. PIEDRA;PETIT CAZADORES;PETIT CAZADORES;2,30;12;27,60;43 X 105;Cuba;Laguito;;;
;JOSE L. PIEDRA;BREVAS;BREVAS JLP;2,70;12;32,40;42 X 133;Cuba;Laguito;;;
;JOSE L. PIEDRA;CONSERVAS;CONSERVAS JLP;2,90;12;34,80;44 X 140;Cuba;Laguito;;;
;JOSE L. PIEDRA;CAZADORES;CAZADORES JLP;3,10;12;37,20;43 X 152;Cuba;Laguito;;;
;JOSE L. PIEDRA;PETIT CABALLEROS;HERMOSO CORTO;3,20;12;38,40;48 X 120;Cuba;Laguito;;;
;JUAN LOPEZ;DRAGONES EdReg Belux;MAGICOS;19,00;10;190,00;52 X 115;Cuba;Laguito;;;
;JUAN LOPEZ;SELECCION No.2;ROBUSTOS;14,50;25;362,50;50 X 124;Cuba;Laguito;;;
;KRISTOFF CIGARS;COROJO LIMITADA;Corojo robusto;13,00;20;260,00;50 X 127;Dom. Rep;CDP;;;
;KRISTOFF CIGARS;SAN ANDRES;San andrés churchill;9,00;20;180,00;50 X 178;Dom. Rep;CDP;;;
;KRISTOFF CIGARS;VENGEANCE;Connecticut perfecto;9,50;20;190,00;60 X 166;Dom. Rep;CDP;;;
;LA AURORA;;1495 robusto ;11,90;20;238,00;50 X 127;Dom. Rep;CAT;;;
;LA AURORA;;1495 sumo short robusto ;10,90;25;272,50;58 X 102;Dom. Rep;CAT;;;
;LA AURORA;;Preferido gold ;220,00;8;1760,00;54 X 127;Dom. Rep;CAT;;;
;LA AURORA;;Preferido ruby ;220,00;8;1760,00;54 X 127;Dom. Rep;CAT;;;
;LA FLOR DE CANO;ELEGIDOS;LIRIOS;6,40;10;64,00;50 X 127;Cuba;Laguito;;;
;LA FLOR DOMINICANA;;Dl-600 maduro ;12,90;20;258,00;52 X 134;Dom. Rep;CAT;;;
